Rk,Nm,Tm,Age,G,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb,RTD
1,Roddy White,ATL,29,16,115,1389,12.1,10,46,7.2,86.8,1,0
2,Larry Fitzgerald,ARI,27,16,90,1137,12.6,6,41,5.6,71.1,0,0
3,Andre Johnson,HOU,29,13,86,1216,14.1,8,60,6.6,93.5,1,0
4,Calvin Johnson,DET,25,15,77,1120,14.5,12,87,5.1,74.7,1,0
5,Reggie Wayne,IND,32,16,111,1355,12.2,6,50,6.9,84.7,1,0
6,Greg Jennings,GNB,27,16,76,1265,16.6,12,86,4.8,79.1,2,0
7,Miles Austin,DAL,26,16,69,1041,15.1,7,69,4.3,65.1,1,1
8,Mike Williams,TAM,23,16,65,964,14.8,11,58,4.1,60.3,3,0
9,Hakeem Nicks,NYG,22,13,79,1052,13.3,11,46,6.1,80.9,1,0
10,DeSean Jackson,PHI,24,14,47,1056,22.5,6,91,3.4,75.4,4,1
11,Santana Moss,WAS,31,16,93,1115,12,6,56,5.8,69.7,3,0
12,Brandon Marshall,MIA,26,14,86,1014,11.8,3,46,6.1,72.4,2,0
13,Brandon Lloyd,DEN,29,16,77,1448,18.8,11,71,4.8,90.5,0,0
14,Steve Smith,CAR,31,14,46,554,12,2,39,3.3,39.6,3,0
15,Wes Welker,NWE,29,15,86,848,9.9,7,35,5.7,56.5,1,0
16,Santonio Holmes,NYJ,26,12,52,746,14.3,6,52,4.3,62.2,2,0
17,Dez Bryant,DAL,22,12,45,561,12.5,6,46,3.8,46.8,2,0
18,Marques Colston,NOR,27,15,84,1023,12.2,7,43,5.6,68.2,0,0
19,Steve Johnson,BUF,24,16,82,1073,13.1,10,45,5.1,67.1,1,0
20,Mike Wallace,PIT,24,16,60,1257,21,10,56,3.8,78.6,1,0
21,Braylon Edwards,SFO,27,16,53,904,17.1,7,74,3.3,56.5,1,0
22,Malcom Floyd,SDG,29,10,37,717,19.4,6,55,3.7,71.7,1,0
23,Dwayne Bowe,KAN,26,15,72,1162,16.1,15,75,4.8,77.5,1,0
24,Vincent Jackson,SDG,27,4,14,248,17.7,3,58,3.5,62,0,0
25,Plaxico Burress ,NYJ,0,0,0,0,0,0,0,0,0,0,0
26,Sidney Rice,SEA,24,6,17,280,16.5,2,46,2.8,46.7,0,0
27,Percy Harvin,MIN,22,14,71,868,12.2,5,53,5.1,62,1,1
28,Jeremy Maclin,PHI,22,15,70,964,13.8,10,83,4.7,64.3,1,0
29,Mike Sims-Walker,JAX,26,11,43,562,13.1,7,39,3.9,51.1,1,0
30,Pierre Garcon,IND,24,14,67,784,11.7,6,57,4.8,56,0,0
31,Mario Manningham,NYG,24,14,60,944,15.7,9,92,4.3,67.4,1,0
32,Mike Thomas,JAX,23,16,66,820,12.4,4,50,4.1,51.3,3,0
33,Davone Bess,MIA,25,16,79,820,10.4,5,29,4.9,51.3,3,0
34,Danny Amendola,STL,25,16,85,689,8.1,3,36,5.3,43.1,2,0
35,Chad Ochocinco,NWE,32,14,67,831,12.4,4,42,4.8,59.4,0,0
36,Lance Moore,NOR,27,15,66,763,11.6,8,80,4.4,50.9,2,0
37,Julio Jones,ATL,0,0,0,0,0,0,0,0,0,0,0
38,A.J. Green,CIN,0,0,0,0,0,0,0,0,0,0,0
39,Kenny Britt,TEN,22,10,42,775,18.5,9,80,4.2,77.5,1,0
40,Austin Collie,IND,25,9,58,649,11.2,8,73,6.4,72.1,1,0
41,Steve Smith,NYG,25,9,48,529,11,3,45,5.3,58.8,0,0
42,Jabar Gaffney,DEN,30,16,65,875,13.5,2,50,4.1,54.7,1,0
43,Mike Williams,SEA,26,13,65,751,11.6,2,68,5,57.8,0,0
44,Anquan Boldin,BAL,30,16,64,837,13.1,7,61,4,52.3,1,0
45,Steve Breaston,ARI,27,13,47,718,15.3,1,37,3.6,55.2,0,0
46,Deion Branch,NWE,31,15,61,818,13.4,6,79,4.1,54.5,1,0
47,Derrick Mason,BAL,36,16,61,802,13.1,7,42,3.8,50.1,0,0
48,Eddie Royal,DEN,24,14,59,627,10.6,3,41,4.2,44.8,4,0
49,Hines Ward,PIT,34,15,59,755,12.8,5,43,3.9,50.3,1,0
50,Johnny Knox,CHI,24,15,51,960,18.8,5,67,3.4,64,1,0
51,Nate Burleson,DET,29,14,55,625,11.4,6,58,3.9,44.6,2,0
52,Michael Crabtree,SFO,23,16,55,741,13.5,6,60,3.4,46.3,0,0
53,Jordan Shipley,CIN,25,15,52,600,11.5,3,64,3.5,40,0,0
54,Jason Avant,PHI,27,15,51,573,11.2,1,34,3.4,38.2,0,0
55,Donald Driver,GNB,35,13,51,565,11.1,4,61,3.9,43.5,1,0
56,Jacoby Jones,HOU,26,15,51,562,11,3,47,3.4,37.5,1,0
57,Kevin Walter,HOU,29,13,51,621,12.2,5,35,3.9,47.8,0,0
58,James Jones,GNB,26,15,50,679,13.6,5,66,3.3,45.3,3,0
59,Earl Bennett,CHI,23,14,46,561,12.2,3,48,3.3,40.1,1,0
60,Jordy Nelson,GNB,25,16,45,582,12.9,2,80,2.8,36.4,3,0
61,Anthony Armstrong,WAS,27,15,44,871,19.8,3,76,2.9,58.1,1,0
62,Robert Meachem,NOR,26,14,44,638,14.5,5,55,3.1,45.6,0,0
63,Josh Morgan,SFO,25,15,44,698,15.9,2,65,2.9,46.5,2,0
64,Brian Hartline,MIA,24,11,43,615,14.3,1,54,3.9,55.9,1,0
65,Nate Washington,TEN,27,16,42,687,16.4,6,71,2.6,42.9,0,0
66,Jerricho Cotchery,NYJ,28,14,41,433,10.6,2,49,2.9,30.9,1,0
67,Jacoby Ford,OAK,23,15,25,470,18.8,2,52,1.7,31.3,3,2
68,Michael Jenkins,ATL,28,11,41,505,12.3,2,43,3.7,45.9,0,0
69,Louis Murphy,OAK,23,14,41,609,14.9,2,70,2.9,43.5,2,0
70,Devin Hester,CHI,28,16,40,475,11.9,4,39,2.5,29.7,0,3
71,Chansi Stuckey,ARI,27,15,40,346,8.7,0,25,2.7,23.1,3,1
72,David Gettis,CAR,23,15,37,508,13.7,3,88,2.5,33.9,1,0
73,Roy E. Williams,CHI,29,14,37,530,14.3,5,63,2.6,37.9,3,0
74,Deon Butler,SEA,24,12,36,385,10.7,4,63,3,32.1,0,0
75,Mohamed Massaquoi,CLE,24,13,36,483,13.4,2,41,2.8,37.2,1,0
76,Blair White,IND,23,13,36,355,9.9,5,33,2.8,27.3,1,0
77,Devery Henderson,NOR,28,13,34,464,13.6,1,57,2.6,35.7,0,0
78,Laurent Robinson,STL,25,13,34,344,10.1,2,32,2.6,26.5,0,0
79,Roscoe Parrish,BUF,28,8,33,400,12.1,2,37,4.1,50,1,0
80,David Nelson,BUF,24,11,31,353,11.4,3,37,2.8,32.1,0,0
81,Brandon Stokley,SEA,34,11,31,354,11.4,0,36,2.8,32.2,0,0
82,T.J. Houshmandzadeh,BAL,33,14,30,398,13.3,3,56,2.1,28.4,1,0
83,Ben Obomanu,SEA,27,13,30,494,16.5,4,87,2.3,38,0,0
84,David Thomas,NOR,27,11,30,219,7.3,2,22,2.7,19.9,0,0
85,Brian Robiskie,CLE,23,12,29,310,10.7,3,46,2.4,25.8,0,0
86,Delanie Walker,SFO,26,13,29,331,11.4,0,38,2.2,25.5,1,0
87,Bernard Berrian,MIN,30,11,28,252,9,0,30,2.5,22.9,2,0
88,Patrick Crayton,SDG,31,8,28,514,18.4,1,49,3.5,64.3,0,0
89,Emmanuel Sanders,PIT,23,12,28,376,13.4,2,35,2.3,31.3,2,0
90,Early Doucet,ARI,25,10,26,291,11.2,1,36,2.6,29.1,0,0
91,Darrius Heyward-Bey,OAK,23,12,26,366,14.1,1,69,2.2,30.5,1,0
92,Arrelious Benn,TAM,22,13,25,395,15.8,2,64,1.9,30.4,1,0
93,Andre Caldwell,CIN,25,13,25,345,13.8,0,53,1.9,26.5,1,0
94,Mark Clayton,STL,28,5,23,306,13.3,2,39,4.6,61.2,0,0
95,Terrell Owens,CIN,37,13,72,983,13.7,9,78,5.5,75.6,0,0
96,Derek Hagan,NYG,26,7,24,223,9.3,1,17,3.4,31.9,0,0
97,Anthony Gonzalez,IND,26,2,5,67,13.4,0,34,2.5,33.5,0,0
98,Michael Clayton,NYG,28,1,2,19,9.5,0,14,2,19,0,0
99,Donte Stallworth,BAL,30,5,2,82,41,0,67,0.4,16.4,1,0
100,Brandon Gibson,STL,23,14,53,620,11.7,2,41,3.8,44.3,0,0
101,Greg Little,CLE,22,0,0,0,0,0,0,0,0,0,0