Rank,Player,Team,G,Points,Owned,Proj,Actual,Pts,Sack,Safety,Int,Fum,TD,Blk
1,Seattle,SEA,16,228,100%,141,158,252,37,1,13,11,3,2
2,Philadelphia,PHI,16,224,93%,184,81,382,49,0,12,16,7,6
3,Buffalo,BUF,16,248,99%,166,99,273,54,1,19,11,2,3
4,Houston,HOU,16,251,99%,179,101,293,38,1,20,14,6,2
5,St. Louis,STL,16,207,97%,192,145,306,40,0,13,12,3,3
6,New England,NWE,16,218,91%,196,152,301,40,0,16,9,4,5
7,Baltimore,BAL,16,217,86%,201,157,302,49,1,11,11,2,3
8,Green Bay,GNB,16,207,86%,209,159,336,41,1,18,9,4,1
9,Arizona,ARI,16,218,94%,195,166,293,35,0,18,7,4,3
10,Detroit,DET,16,213,22%,236,192,280,42,1,20,7,2,2
11,Indianapolis,IND,16,196,40%,225,195,337,41,0,12,14,2,1
12,Cleveland,CLE,16,201,14%,238,196,331,31,1,21,8,3,3
13,Miami,MIA,16,186,60%,233,197,367,39,3,14,11,3,5
14,Minnesota,MIN,16,199,11%,252,200,327,41,0,13,6,5,3
15,San Francisco,SFO,16,201,63%,217,210,328,36,0,23,6,3,1
16,Denver,DEN,16,192,35%,248,235,342,41,1,18,7,3,2
17,Kansas City,KAN,16,191,76%,211,239,279,46,0,6,8,1,0
18,Dallas,DAL,16,185,12%,255,245,338,28,0,18,13,3,1
19,Pittsburgh,PIT,16,179,9%,258,246,368,33,1,11,10,5,0
20,Carolina,CAR,16,167,72%,224,254,362,40,0,14,12,2,0
21,Jacksonville,JAC,16,168,1%,1846,281,378,45,1,6,14,3,0
22,NY Jets,NYG,16,169,4%,275,282,382,47,0,17,9,1,1
23,Tampa Bay,TAM,16,169,2%,1814,1416,394,36,0,14,11,3,1
24,Chicago,CHI,16,152,3%,1845,1423,430,39,0,14,10,1,3
25,Cincinnati,CIN,16,172,10%,257,1424,326,20,3,20,6,1,1
26,Atlanta,ATL,16,157,1%,1863,1429,385,22,0,16,12,2,3
27,San Diego,SDG,16,163,1%,1866,1440,336,26,1,7,11,3,2
28,Tennessee,TEN,16,132,1%,1901,1556,422,39,1,12,4,2,2
29,NY Giants,NYJ,16,134,32%,2090,1584,381,45,1,6,7,0,0
30,New Orleans,NOR,16,125,2%,2102,1610,400,34,2,12,5,0,0
31,Washington,WAS,16,120,1%,2345,1643,414,36,0,7,12,0,0
32,Oakland,OAK,16,111,1%,2465,1674,428,22,0,9,5,2,2