Rank,First,Last,Team,G,QBRat,Comp,Att,Pct,Yds,Y/G,Y/A,TD,Int,Rush,Yds,Y/G,Avg,TD,Sack,YdsL,Fum,FumL
1,Tony,Romo,DAL,15,113.2,304,435,69.9,3705,247.0,8.5,34,9,26,61,4.1,2.3,0,29,215,6,3
2,Aaron,Rodgers,GNB,16,112.2,341,520,65.6,4381,273.8,8.4,38,5,43,269,16.8,6.3,2,28,174,10,2
3,Ben,Roethlisberger,PIT,16,103.3,408,608,67.1,4952,309.5,8.1,32,9,33,27,1.7,0.8,0,33,172,9,5
4,Peyton,Manning,DEN,16,101.5,395,597,66.2,4727,295.4,7.9,39,15,24,-24,-1.5,-1.0,0,17,118,5,2
5,Tom,Brady,NWE,16,97.4,373,582,64.1,4109,256.8,7.1,33,9,36,57,3.6,1.6,0,21,134,6,3
6,Drew,Brees,NOR,16,97.0,456,659,69.2,4952,309.5,7.5,33,17,27,68,4.3,2.5,1,29,186,7,3
7,Andrew,Luck,IND,16,96.5,380,616,61.7,4761,297.6,7.7,40,16,64,273,17.1,4.3,3,27,161,13,6
8,Carson,Palmer,ARI,6,95.6,141,224,62.9,1626,271.0,7.3,11,3,8,25,4.2,3.1,0,9,59,3,1
9,Ryan,Fitzpatrick,HOU,12,95.3,197,312,63.1,2483,206.9,8.0,17,8,50,184,15.3,3.7,2,21,83,5,1
10,Russell,Wilson,SEA,16,95.0,285,452,63.1,3475,217.2,7.7,20,7,118,849,53.1,7.2,6,42,242,11,0
11,Matt,Ryan,ATL,16,93.9,415,628,66.1,4694,293.4,7.5,28,14,29,145,9.1,5.0,0,31,205,5,2
12,Philip,Rivers,SDG,16,93.8,379,570,66.5,4286,267.9,7.5,31,18,37,102,6.4,2.8,0,36,189,8,2
13,Alex,Smith,KAN,15,93.4,303,464,65.3,3265,217.7,7.0,18,6,49,254,16.9,5.2,1,45,229,4,1
14,Ryan,Tannehill,MIA,16,92.8,392,590,66.4,4045,252.8,6.9,27,12,56,311,19.4,5.6,1,46,337,9,2
15,Eli,Manning,NYG,16,92.1,379,601,63.1,4410,275.6,7.3,30,14,12,31,1.9,2.6,1,28,187,7,4
16,Joe,Flacco,BAL,16,91.0,344,554,62.1,3986,249.1,7.2,27,12,39,70,4.4,1.8,2,19,167,5,0
17,Jay,Cutler,CHI,15,88.6,370,561,66.0,3812,254.1,6.8,28,18,39,191,12.7,4.9,2,38,223,12,6
18,Jameis,Winston,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Marcus,Mariota,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Mark,Sanchez,PHI,9,88.4,198,309,64.1,2418,268.7,7.8,14,11,34,87,9.7,2.6,1,23,151,7,3
21,Kyle,Orton,BUF,12,87.8,287,447,64.2,3018,251.5,6.8,18,10,15,14,1.2,0.9,1,33,198,3,3
22,Colin,Kaepernick,SFO,16,86.4,289,478,60.5,3369,210.6,7.0,19,10,104,639,39.9,6.1,1,52,344,8,5
23,Matthew,Stafford,DET,16,85.7,363,602,60.3,4257,266.1,7.1,22,12,43,93,5.8,2.2,2,45,254,8,3
24,Teddy,Bridgewater,MIN,13,85.2,259,402,64.4,2919,224.5,7.3,14,12,47,209,16.1,4.4,1,39,249,3,0
25,Austin,Davis,STL,10,85.1,180,284,63.4,2001,200.1,7.0,12,9,16,36,3.6,2.3,0,29,179,5,3
26,Shaun,Hill,STL,9,83.9,145,229,63.3,1657,184.1,7.2,8,7,10,10,1.1,1.0,1,18,116,7,1
27,Andy,Dalton,CIN,16,83.5,309,481,64.2,3398,212.4,7.1,19,17,60,169,10.6,2.8,4,21,124,3,2
28,Cam,Newton,CAR,14,82.1,262,448,58.5,3127,223.4,7.0,18,12,103,539,38.5,5.2,5,38,300,9,5
29,Nick,Foles,STL,8,81.4,186,311,59.8,2163,270.4,7.0,13,10,16,68,8.5,4.3,0,9,74,4,3
30,Drew,Stanton,ARI,9,78.7,132,240,55.0,1711,190.1,7.1,7,5,25,63,7.0,2.5,0,11,66,1,0
31,Geno,Smith,NYJ,14,77.5,219,367,59.7,2525,180.4,6.9,13,13,59,238,17.0,4.0,1,28,175,8,3
32,Derek,Carr,OAK,16,76.6,348,599,58.1,3270,204.4,5.5,21,12,29,92,5.8,3.2,0,24,149,10,4
33,Brian,Hoyer,CLE,14,76.5,242,438,55.3,3326,237.6,7.6,12,13,24,39,2.8,1.6,0,24,160,4,1
34,Josh,McCown,TAM,11,70.5,184,327,56.3,2206,200.5,6.7,11,14,25,127,11.5,5.1,3,36,235,10,4
35,Blake,Bortles,JAC,14,69.5,280,475,58.9,2908,207.7,6.1,11,17,56,419,29.9,7.5,0,55,345,7,1
36,Derek,Anderson,CAR,0,0.0,0,0,0,701,0,0,5,0,0,24,0,24,0,0,0,0,0
37,Matt,Cassel,BUF,0,0.0,0,0,0,425,0,0,3,4,0,18,0,18,0,0,0,0,0
38,Terrelle,Pryor,CLE,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Christian,Ponder,CLE,0,0.0,0,0,0,202,0,0,0,2,0,16,0,16,1,0,0,0,0
40,Kellen,Clemens,SDG,0,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Ryan,Mallet,HOU,0,0.0,0,0,0,400,0,0,2,2,0,0,0,0,0,0,0,0,0
42,Case,Keenum,STL,0,0.0,0,0,0,435,0,0,2,2,0,0,0,0,0,0,0,0,1
43,Michael,Vick,NYJ,0,0.0,0,0,0,604,0,0,3,2,0,153,0,153,0,0,0,0,2
44,Tim,Tebow,PHI,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Matt,Flynn,NYJ,0,0.0,0,0,0,66,0,0,0,1,0,0,0,0,0,0,0,0,1